Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
196_R1_001	76.92808858256913	67.0	150.0	150	63.63636363636363	22003473.0
196_R2_001	76.92650943034016	67.0	150.0	150	54.54545454545454	22003473.0
199_R1_001	77.80777606377079	65.0	150.0	150	54.54545454545454	16783759.0
199_R2_001	77.67065245946934	67.0	150.0	150	54.54545454545454	16783759.0
211_R1_001	76.14409362431924	66.0	150.0	150	54.54545454545454	17846428.0
211_R2_001	75.98971896301694	67.0	150.0	150	54.54545454545454	17846428.0
24_R1_001	78.12077941777143	69.0	150.0	150	63.63636363636363	19061228.0
24_R2_001	78.83198120071019	67.0	150.0	150	54.54545454545454	19061228.0
260_R1_001	78.94037423220419	66.0	150.0	150	63.63636363636363	19282887.0
260_R2_001	79.26213987093833	67.0	150.0	150	45.45454545454545	19282887.0
26_R1_001	80.31045598233965	64.0	150.0	150	63.63636363636363	17972540.0
26_R2_001	80.54135988398933	67.0	150.0	150	54.54545454545454	17972540.0
30_R1_001	78.1610797222745	66.0	150.0	150	54.54545454545454	19810124.0
30_R2_001	77.95358054976211	66.0	150.0	150	45.45454545454545	19810124.0
310_R1_001	78.41051554746034	68.0	150.0	150	63.63636363636363	19737649.0
310_R2_001	79.72406845436153	67.0	150.0	150	45.45454545454545	19737649.0
33_R1_001	79.08983048075947	68.0	150.0	150	63.63636363636363	19918975.0
33_R2_001	79.25222666899572	67.0	150.0	150	54.54545454545454	19918975.0
341_R1_001	79.17703990453418	66.0	150.0	150	54.54545454545454	19715666.0
341_R2_001	80.62408520657556	67.0	150.0	150	45.45454545454545	19715666.0
34_R1_001	79.8099272988095	67.0	150.0	150	63.63636363636363	22627992.0
34_R2_001	79.60845139982136	67.0	150.0	150	54.54545454545454	22627992.0
35_R1_001	78.48167336696135	65.0	150.0	150	54.54545454545454	17663366.0
35_R2_001	78.91926979319567	67.0	150.0	150	54.54545454545454	17663366.0
363_R1_001	79.84732144520311	66.0	150.0	150	63.63636363636363	20926097.0
363_R2_001	81.05921303443628	67.0	150.0	150	54.54545454545454	20926097.0
367_R1_001	76.74088743945455	67.0	150.0	150	54.54545454545454	19352690.0
367_R2_001	79.24116751171978	67.0	150.0	150	54.54545454545454	19352690.0
376_R1_001	80.9790273453905	67.0	150.0	150	54.54545454545454	36539657.0
376_R2_001	82.86000507947406	67.0	150.0	150	54.54545454545454	36539657.0
460_R1_001	75.545785030524	69.0	150.0	150	54.54545454545454	18956830.0
460_R2_001	77.7481205819499	67.0	150.0	150	45.45454545454545	18956830.0
485_R1_001	77.28973472974477	66.0	150.0	150	54.54545454545454	19696678.0
485_R2_001	79.216194920404	67.0	150.0	150	54.54545454545454	19696678.0
501_R1_001	75.25553079304743	68.0	150.0	150	54.54545454545454	21244405.0
501_R2_001	77.26194876855234	67.0	150.0	150	45.45454545454545	21244405.0
71_R1_001	71.6084518061476	66.0	150.0	150	54.54545454545454	21953712.0
71_R2_001	72.14672672505367	67.0	150.0	150	45.45454545454545	21953712.0
88_R1_001	78.04832205529931	66.0	150.0	150	54.54545454545454	22568598.0
88_R2_001	77.88632890945682	67.0	150.0	150	54.54545454545454	22568598.0
