readfile	mapping_type	sequence_length	sequence_count	read_count
/home/shared/8TB_HDD_01/sam/gitrepos/RobertsLab/project-clam-oa/output/02.00-ShortStack-31bp-fastp-merged/ShortStack_out/196-fastp-adapters-polyG-31bp-merged_condensed.bam	P	>24	651662	4176719
/home/shared/8TB_HDD_01/sam/gitrepos/RobertsLab/project-clam-oa/output/02.00-ShortStack-31bp-fastp-merged/ShortStack_out/196-fastp-adapters-polyG-31bp-merged_condensed.bam	R	<21	17886	35858
/home/shared/8TB_HDD_01/sam/gitrepos/RobertsLab/project-clam-oa/output/02.00-ShortStack-31bp-fastp-merged/ShortStack_out/196-fastp-adapters-polyG-31bp-merged_condensed.bam	R	21	5004	10588
/home/shared/8TB_HDD_01/sam/gitrepos/RobertsLab/project-clam-oa/output/02.00-ShortStack-31bp-fastp-merged/ShortStack_out/196-fastp-adapters-polyG-31bp-merged_condensed.bam	R	22	6113	14806
/home/shared/8TB_HDD_01/sam/gitrepos/RobertsLab/project-clam-oa/output/02.00-ShortStack-31bp-fastp-merged/ShortStack_out/196-fastp-adapters-polyG-31bp-merged_condensed.bam	R	23	7075	27739
/home/shared/8TB_HDD_01/sam/gitrepos/RobertsLab/project-clam-oa/output/02.00-ShortStack-31bp-fastp-merged/ShortStack_out/196-fastp-adapters-polyG-31bp-merged_condensed.bam	R	24	10857	21988
/home/shared/8TB_HDD_01/sam/gitrepos/RobertsLab/project-clam-oa/output/02.00-ShortStack-31bp-fastp-merged/ShortStack_out/196-fastp-adapters-polyG-31bp-merged_condensed.bam	R	>24	372064	1349149
/home/shared/8TB_HDD_01/sam/gitrepos/RobertsLab/project-clam-oa/output/02.00-ShortStack-31bp-fastp-merged/ShortStack_out/196-fastp-adapters-polyG-31bp-merged_condensed.bam	H	<21	10022	22338
/home/shared/8TB_HDD_01/sam/gitrepos/RobertsLab/project-clam-oa/output/02.00-ShortStack-31bp-fastp-merged/ShortStack_out/196-fastp-adapters-polyG-31bp-merged_condensed.bam	H	21	3210	6463
/home/shared/8TB_HDD_01/sam/gitrepos/RobertsLab/project-clam-oa/output/02.00-ShortStack-31bp-fastp-merged/ShortStack_out/196-fastp-adapters-polyG-31bp-merged_condensed.bam	H	22	3864	9079
/home/shared/8TB_HDD_01/sam/gitrepos/RobertsLab/project-clam-oa/output/02.00-ShortStack-31bp-fastp-merged/ShortStack_out/196-fastp-adapters-polyG-31bp-merged_condensed.bam	H	23	3608	6959
/home/shared/8TB_HDD_01/sam/gitrepos/RobertsLab/project-clam-oa/output/02.00-ShortStack-31bp-fastp-merged/ShortStack_out/196-fastp-adapters-polyG-31bp-merged_condensed.bam	H	24	4659	9217
/home/shared/8TB_HDD_01/sam/gitrepos/RobertsLab/project-clam-oa/output/02.00-ShortStack-31bp-fastp-merged/ShortStack_out/196-fastp-adapters-polyG-31bp-merged_condensed.bam	H	>24	109821	441229
/home/shared/8TB_HDD_01/sam/gitrepos/RobertsLab/project-clam-oa/output/02.00-ShortStack-31bp-fastp-merged/ShortStack_out/196-fastp-adapters-polyG-31bp-merged_condensed.bam	N	<21	53046	144089
/home/shared/8TB_HDD_01/sam/gitrepos/RobertsLab/project-clam-oa/output/02.00-ShortStack-31bp-fastp-merged/ShortStack_out/196-fastp-adapters-polyG-31bp-merged_condensed.bam	N	21	24583	65300
/home/shared/8TB_HDD_01/sam/gitrepos/RobertsLab/project-clam-oa/output/02.00-ShortStack-31bp-fastp-merged/ShortStack_out/196-fastp-adapters-polyG-31bp-merged_condensed.bam	N	22	27340	66809
/home/shared/8TB_HDD_01/sam/gitrepos/RobertsLab/project-clam-oa/output/02.00-ShortStack-31bp-fastp-merged/ShortStack_out/196-fastp-adapters-polyG-31bp-merged_condensed.bam	N	23	29632	69947
/home/shared/8TB_HDD_01/sam/gitrepos/RobertsLab/project-clam-oa/output/02.00-ShortStack-31bp-fastp-merged/ShortStack_out/196-fastp-adapters-polyG-31bp-merged_condensed.bam	N	24	34646	99344
/home/shared/8TB_HDD_01/sam/gitrepos/RobertsLab/project-clam-oa/output/02.00-ShortStack-31bp-fastp-merged/ShortStack_out/196-fastp-adapters-polyG-31bp-merged_condensed.bam	N	>24	1000066	2926512
/home/shared/8TB_HDD_01/sam/gitrepos/RobertsLab/project-clam-oa/output/02.00-ShortStack-31bp-fastp-merged/ShortStack_out/199-fastp-adapters-polyG-31bp-merged_condensed.bam	U	<21	21129	61285
/home/shared/8TB_HDD_01/sam/gitrepos/RobertsLab/project-clam-oa/output/02.00-ShortStack-31bp-fastp-merged/ShortStack_out/199-fastp-adapters-polyG-31bp-merged_condensed.bam	U	21	9100	29677
/home/shared/8TB_HDD_01/sam/gitrepos/RobertsLab/project-clam-oa/output/02.00-ShortStack-31bp-fastp-merged/ShortStack_out/199-fastp-adapters-polyG-31bp-merged_condensed.bam	U	22	11923	118816
/home/shared/8TB_HDD_01/sam/gitrepos/RobertsLab/project-clam-oa/output/02.00-ShortStack-31bp-fastp-merged/ShortStack_out/199-fastp-adapters-polyG-31bp-merged_condensed.bam	U	23	14986	222568
/home/shared/8TB_HDD_01/sam/gitrepos/RobertsLab/project-clam-oa/output/02.00-ShortStack-31bp-fastp-merged/ShortStack_out/199-fastp-adapters-polyG-31bp-merged_condensed.bam	U	24	21873	65921
/home/shared/8TB_HDD_01/sam/gitrepos/RobertsLab/project-clam-oa/output/02.00-ShortStack-31bp-fastp-merged/ShortStack_out/199-fastp-adapters-polyG-31bp-merged_condensed.bam	U	>24	782813	4423500
/home/shared/8TB_HDD_01/sam/gitrepos/RobertsLab/project-clam-oa/output/02.00-ShortStack-31bp-fastp-merged/ShortStack_out/199-fastp-adapters-polyG-31bp-merged_condensed.bam	P	<21	23475	535966
/home/shared/8TB_HDD_01/sam/gitrepos/RobertsLab/project-clam-oa/output/02.00-ShortStack-31bp-fastp-merged/ShortStack_out/199-fastp-adapters-polyG-31bp-merged_condensed.bam	P	21	8282	22749
/home/shared/8TB_HDD_01/sam/gitrepos/RobertsLab/project-clam-oa/output/02.00-ShortStack-31bp-fastp-merged/ShortStack_out/199-fastp-adapters-polyG-31bp-merged_condensed.bam	P	22	10119	45022
/home/shared/8TB_HDD_01/sam/gitrepos/RobertsLab/project-clam-oa/output/02.00-ShortStack-31bp-fastp-merged/ShortStack_out/199-fastp-adapters-polyG-31bp-merged_condensed.bam	P	23	12479	47974
/home/shared/8TB_HDD_01/sam/gitrepos/RobertsLab/project-clam-oa/output/02.00-ShortStack-31bp-fastp-merged/ShortStack_out/199-fastp-adapters-polyG-31bp-merged_condensed.bam	P	24	18006	49598
/home/shared/8TB_HDD_01/sam/gitrepos/RobertsLab/project-clam-oa/output/02.00-ShortStack-31bp-fastp-merged/ShortStack_out/199-fastp-adapters-polyG-31bp-merged_condensed.bam	P	>24	496604	3519987
/home/shared/8TB_HDD_01/sam/gitrepos/RobertsLab/project-clam-oa/output/02.00-ShortStack-31bp-fastp-merged/ShortStack_out/199-fastp-adapters-polyG-31bp-merged_condensed.bam	R	<21	11097	19374
/home/shared/8TB_HDD_01/sam/gitrepos/RobertsLab/project-clam-oa/output/02.00-ShortStack-31bp-fastp-merged/ShortStack_out/199-fastp-adapters-polyG-31bp-merged_condensed.bam	R	21	3410	7151
/home/shared/8TB_HDD_01/sam/gitrepos/RobertsLab/project-clam-oa/output/02.00-ShortStack-31bp-fastp-merged/ShortStack_out/199-fastp-adapters-polyG-31bp-merged_condensed.bam	R	22	4226	10642
/home/shared/8TB_HDD_01/sam/gitrepos/RobertsLab/project-clam-oa/output/02.00-ShortStack-31bp-fastp-merged/ShortStack_out/199-fastp-adapters-polyG-31bp-merged_condensed.bam	R	23	5121	9768
/home/shared/8TB_HDD_01/sam/gitrepos/RobertsLab/project-clam-oa/output/02.00-ShortStack-31bp-fastp-merged/ShortStack_out/199-fastp-adapters-polyG-31bp-merged_condensed.bam	R	24	7675	13980
/home/shared/8TB_HDD_01/sam/gitrepos/RobertsLab/project-clam-oa/output/02.00-ShortStack-31bp-fastp-merged/ShortStack_out/199-fastp-adapters-polyG-31bp-merged_condensed.bam	R	>24	306731	1125999
/home/shared/8TB_HDD_01/sam/gitrepos/RobertsLab/project-clam-oa/output/02.00-ShortStack-31bp-fastp-merged/ShortStack_out/199-fastp-adapters-polyG-31bp-merged_condensed.bam	H	<21	5893	12451
/home/shared/8TB_HDD_01/sam/gitrepos/RobertsLab/project-clam-oa/output/02.00-ShortStack-31bp-fastp-merged/ShortStack_out/199-fastp-adapters-polyG-31bp-merged_condensed.bam	H	21	2071	4410
/home/shared/8TB_HDD_01/sam/gitrepos/RobertsLab/project-clam-oa/output/02.00-ShortStack-31bp-fastp-merged/ShortStack_out/199-fastp-adapters-polyG-31bp-merged_condensed.bam	H	22	2361	6478
/home/shared/8TB_HDD_01/sam/gitrepos/RobertsLab/project-clam-oa/output/02.00-ShortStack-31bp-fastp-merged/ShortStack_out/199-fastp-adapters-polyG-31bp-merged_condensed.bam	H	23	2224	5035
/home/shared/8TB_HDD_01/sam/gitrepos/RobertsLab/project-clam-oa/output/02.00-ShortStack-31bp-fastp-merged/ShortStack_out/199-fastp-adapters-polyG-31bp-merged_condensed.bam	H	24	2992	6397
/home/shared/8TB_HDD_01/sam/gitrepos/RobertsLab/project-clam-oa/output/02.00-ShortStack-31bp-fastp-merged/ShortStack_out/199-fastp-adapters-polyG-31bp-merged_condensed.bam	H	>24	77821	344329
/home/shared/8TB_HDD_01/sam/gitrepos/RobertsLab/project-clam-oa/output/02.00-ShortStack-31bp-fastp-merged/ShortStack_out/199-fastp-adapters-polyG-31bp-merged_condensed.bam	N	<21	25686	45954
/home/shared/8TB_HDD_01/sam/gitrepos/RobertsLab/project-clam-oa/output/02.00-ShortStack-31bp-fastp-merged/ShortStack_out/199-fastp-adapters-polyG-31bp-merged_condensed.bam	N	21	12568	24058
/home/shared/8TB_HDD_01/sam/gitrepos/RobertsLab/project-clam-oa/output/02.00-ShortStack-31bp-fastp-merged/ShortStack_out/199-fastp-adapters-polyG-31bp-merged_condensed.bam	N	22	14918	27450
/home/shared/8TB_HDD_01/sam/gitrepos/RobertsLab/project-clam-oa/output/02.00-ShortStack-31bp-fastp-merged/ShortStack_out/199-fastp-adapters-polyG-31bp-merged_condensed.bam	N	23	16664	31336
/home/shared/8TB_HDD_01/sam/gitrepos/RobertsLab/project-clam-oa/output/02.00-ShortStack-31bp-fastp-merged/ShortStack_out/199-fastp-adapters-polyG-31bp-merged_condensed.bam	N	24	20965	40546
/home/shared/8TB_HDD_01/sam/gitrepos/RobertsLab/project-clam-oa/output/02.00-ShortStack-31bp-fastp-merged/ShortStack_out/199-fastp-adapters-polyG-31bp-merged_condensed.bam	N	>24	770415	2622625
/home/shared/8TB_HDD_01/sam/gitrepos/RobertsLab/project-clam-oa/output/02.00-ShortStack-31bp-fastp-merged/ShortStack_out/211-fastp-adapters-polyG-31bp-merged_condensed.bam	U	<21	23868	76587
/home/shared/8TB_HDD_01/sam/gitrepos/RobertsLab/project-clam-oa/output/02.00-ShortStack-31bp-fastp-merged/ShortStack_out/211-fastp-adapters-polyG-31bp-merged_condensed.bam	U	21	10531	34239
/home/shared/8TB_HDD_01/sam/gitrepos/RobertsLab/project-clam-oa/output/02.00-ShortStack-31bp-fastp-merged/ShortStack_out/211-fastp-adapters-polyG-31bp-merged_condensed.bam	U	22	14031	116848
/home/shared/8TB_HDD_01/sam/gitrepos/RobertsLab/project-clam-oa/output/02.00-ShortStack-31bp-fastp-merged/ShortStack_out/211-fastp-adapters-polyG-31bp-merged_condensed.bam	U	23	17316	247817
/home/shared/8TB_HDD_01/sam/gitrepos/RobertsLab/project-clam-oa/output/02.00-ShortStack-31bp-fastp-merged/ShortStack_out/211-fastp-adapters-polyG-31bp-merged_condensed.bam	U	24	24934	71389
/home/shared/8TB_HDD_01/sam/gitrepos/RobertsLab/project-clam-oa/output/02.00-ShortStack-31bp-fastp-merged/ShortStack_out/211-fastp-adapters-polyG-31bp-merged_condensed.bam	U	>24	915977	4603178
/home/shared/8TB_HDD_01/sam/gitrepos/RobertsLab/project-clam-oa/output/02.00-ShortStack-31bp-fastp-merged/ShortStack_out/211-fastp-adapters-polyG-31bp-merged_condensed.bam	P	<21	28239	593937
/home/shared/8TB_HDD_01/sam/gitrepos/RobertsLab/project-clam-oa/output/02.00-ShortStack-31bp-fastp-merged/ShortStack_out/211-fastp-adapters-polyG-31bp-merged_condensed.bam	P	21	10369	29921
/home/shared/8TB_HDD_01/sam/gitrepos/RobertsLab/project-clam-oa/output/02.00-ShortStack-31bp-fastp-merged/ShortStack_out/211-fastp-adapters-polyG-31bp-merged_condensed.bam	P	22	12465	53296
/home/shared/8TB_HDD_01/sam/gitrepos/RobertsLab/project-clam-oa/output/02.00-ShortStack-31bp-fastp-merged/ShortStack_out/211-fastp-adapters-polyG-31bp-merged_condensed.bam	P	23	15482	56049
/home/shared/8TB_HDD_01/sam/gitrepos/RobertsLab/project-clam-oa/output/02.00-ShortStack-31bp-fastp-merged/ShortStack_out/211-fastp-adapters-polyG-31bp-merged_condensed.bam	P	24	21514	56040
/home/shared/8TB_HDD_01/sam/gitrepos/RobertsLab/project-clam-oa/output/02.00-ShortStack-31bp-fastp-merged/ShortStack_out/211-fastp-adapters-polyG-31bp-merged_condensed.bam	P	>24	617096	3755860
/home/shared/8TB_HDD_01/sam/gitrepos/RobertsLab/project-clam-oa/output/02.00-ShortStack-31bp-fastp-merged/ShortStack_out/211-fastp-adapters-polyG-31bp-merged_condensed.bam	R	<21	11032	20512
/home/shared/8TB_HDD_01/sam/gitrepos/RobertsLab/project-clam-oa/output/02.00-ShortStack-31bp-fastp-merged/ShortStack_out/211-fastp-adapters-polyG-31bp-merged_condensed.bam	R	21	3710	7125
/home/shared/8TB_HDD_01/sam/gitrepos/RobertsLab/project-clam-oa/output/02.00-ShortStack-31bp-fastp-merged/ShortStack_out/211-fastp-adapters-polyG-31bp-merged_condensed.bam	R	22	4943	12523
/home/shared/8TB_HDD_01/sam/gitrepos/RobertsLab/project-clam-oa/output/02.00-ShortStack-31bp-fastp-merged/ShortStack_out/211-fastp-adapters-polyG-31bp-merged_condensed.bam	R	23	5616	9506
/home/shared/8TB_HDD_01/sam/gitrepos/RobertsLab/project-clam-oa/output/02.00-ShortStack-31bp-fastp-merged/ShortStack_out/211-fastp-adapters-polyG-31bp-merged_condensed.bam	R	24	8387	14665
/home/shared/8TB_HDD_01/sam/gitrepos/RobertsLab/project-clam-oa/output/02.00-ShortStack-31bp-fastp-merged/ShortStack_out/211-fastp-adapters-polyG-31bp-merged_condensed.bam	R	>24	357652	1264987
/home/shared/8TB_HDD_01/sam/gitrepos/RobertsLab/project-clam-oa/output/02.00-ShortStack-31bp-fastp-merged/ShortStack_out/211-fastp-adapters-polyG-31bp-merged_condensed.bam	H	<21	7180	15184
/home/shared/8TB_HDD_01/sam/gitrepos/RobertsLab/project-clam-oa/output/02.00-ShortStack-31bp-fastp-merged/ShortStack_out/211-fastp-adapters-polyG-31bp-merged_condensed.bam	H	21	2715	5670
/home/shared/8TB_HDD_01/sam/gitrepos/RobertsLab/project-clam-oa/output/02.00-ShortStack-31bp-fastp-merged/ShortStack_out/211-fastp-adapters-polyG-31bp-merged_condensed.bam	H	22	3221	7162
/home/shared/8TB_HDD_01/sam/gitrepos/RobertsLab/project-clam-oa/output/02.00-ShortStack-31bp-fastp-merged/ShortStack_out/211-fastp-adapters-polyG-31bp-merged_condensed.bam	H	23	3072	5926
/home/shared/8TB_HDD_01/sam/gitrepos/RobertsLab/project-clam-oa/output/02.00-ShortStack-31bp-fastp-merged/ShortStack_out/211-fastp-adapters-polyG-31bp-merged_condensed.bam	H	24	4184	8294
/home/shared/8TB_HDD_01/sam/gitrepos/RobertsLab/project-clam-oa/output/02.00-ShortStack-31bp-fastp-merged/ShortStack_out/211-fastp-adapters-polyG-31bp-merged_condensed.bam	H	>24	110842	454162
/home/shared/8TB_HDD_01/sam/gitrepos/RobertsLab/project-clam-oa/output/02.00-ShortStack-31bp-fastp-merged/ShortStack_out/211-fastp-adapters-polyG-31bp-merged_condensed.bam	N	<21	23232	51802
/home/shared/8TB_HDD_01/sam/gitrepos/RobertsLab/project-clam-oa/output/02.00-ShortStack-31bp-fastp-merged/ShortStack_out/211-fastp-adapters-polyG-31bp-merged_condensed.bam	N	21	11610	25851
/home/shared/8TB_HDD_01/sam/gitrepos/RobertsLab/project-clam-oa/output/02.00-ShortStack-31bp-fastp-merged/ShortStack_out/211-fastp-adapters-polyG-31bp-merged_condensed.bam	N	22	14299	29763
/home/shared/8TB_HDD_01/sam/gitrepos/RobertsLab/project-clam-oa/output/02.00-ShortStack-31bp-fastp-merged/ShortStack_out/211-fastp-adapters-polyG-31bp-merged_condensed.bam	N	23	16955	33580
/home/shared/8TB_HDD_01/sam/gitrepos/RobertsLab/project-clam-oa/output/02.00-ShortStack-31bp-fastp-merged/ShortStack_out/211-fastp-adapters-polyG-31bp-merged_condensed.bam	N	24	21036	45227
/home/shared/8TB_HDD_01/sam/gitrepos/RobertsLab/project-clam-oa/output/02.00-ShortStack-31bp-fastp-merged/ShortStack_out/211-fastp-adapters-polyG-31bp-merged_condensed.bam	N	>24	895416	2624523
/home/shared/8TB_HDD_01/sam/gitrepos/RobertsLab/project-clam-oa/output/02.00-ShortStack-31bp-fastp-merged/ShortStack_out/24-fastp-adapters-polyG-31bp-merged_condensed.bam	U	<21	22335	66165
/home/shared/8TB_HDD_01/sam/gitrepos/RobertsLab/project-clam-oa/output/02.00-ShortStack-31bp-fastp-merged/ShortStack_out/24-fastp-adapters-polyG-31bp-merged_condensed.bam	U	21	9542	30243
/home/shared/8TB_HDD_01/sam/gitrepos/RobertsLab/project-clam-oa/output/02.00-ShortStack-31bp-fastp-merged/ShortStack_out/24-fastp-adapters-polyG-31bp-merged_condensed.bam	U	22	12375	88400
/home/shared/8TB_HDD_01/sam/gitrepos/RobertsLab/project-clam-oa/output/02.00-ShortStack-31bp-fastp-merged/ShortStack_out/24-fastp-adapters-polyG-31bp-merged_condensed.bam	U	23	16259	223997
/home/shared/8TB_HDD_01/sam/gitrepos/RobertsLab/project-clam-oa/output/02.00-ShortStack-31bp-fastp-merged/ShortStack_out/24-fastp-adapters-polyG-31bp-merged_condensed.bam	U	24	24096	71172
/home/shared/8TB_HDD_01/sam/gitrepos/RobertsLab/project-clam-oa/output/02.00-ShortStack-31bp-fastp-merged/ShortStack_out/24-fastp-adapters-polyG-31bp-merged_condensed.bam	U	>24	815468	4924230
/home/shared/8TB_HDD_01/sam/gitrepos/RobertsLab/project-clam-oa/output/02.00-ShortStack-31bp-fastp-merged/ShortStack_out/24-fastp-adapters-polyG-31bp-merged_condensed.bam	P	<21	28450	692137
/home/shared/8TB_HDD_01/sam/gitrepos/RobertsLab/project-clam-oa/output/02.00-ShortStack-31bp-fastp-merged/ShortStack_out/24-fastp-adapters-polyG-31bp-merged_condensed.bam	P	21	10121	29947
/home/shared/8TB_HDD_01/sam/gitrepos/RobertsLab/project-clam-oa/output/02.00-ShortStack-31bp-fastp-merged/ShortStack_out/24-fastp-adapters-polyG-31bp-merged_condensed.bam	P	22	12347	51101
/home/shared/8TB_HDD_01/sam/gitrepos/RobertsLab/project-clam-oa/output/02.00-ShortStack-31bp-fastp-merged/ShortStack_out/24-fastp-adapters-polyG-31bp-merged_condensed.bam	P	23	15466	44495
/home/shared/8TB_HDD_01/sam/gitrepos/RobertsLab/project-clam-oa/output/02.00-ShortStack-31bp-fastp-merged/ShortStack_out/24-fastp-adapters-polyG-31bp-merged_condensed.bam	P	24	22487	63984
/home/shared/8TB_HDD_01/sam/gitrepos/RobertsLab/project-clam-oa/output/02.00-ShortStack-31bp-fastp-merged/ShortStack_out/24-fastp-adapters-polyG-31bp-merged_condensed.bam	P	>24	571406	3973876
/home/shared/8TB_HDD_01/sam/gitrepos/RobertsLab/project-clam-oa/output/02.00-ShortStack-31bp-fastp-merged/ShortStack_out/24-fastp-adapters-polyG-31bp-merged_condensed.bam	R	<21	12074	20674
/home/shared/8TB_HDD_01/sam/gitrepos/RobertsLab/project-clam-oa/output/02.00-ShortStack-31bp-fastp-merged/ShortStack_out/24-fastp-adapters-polyG-31bp-merged_condensed.bam	R	21	4005	7565
/home/shared/8TB_HDD_01/sam/gitrepos/RobertsLab/project-clam-oa/output/02.00-ShortStack-31bp-fastp-merged/ShortStack_out/24-fastp-adapters-polyG-31bp-merged_condensed.bam	R	22	5136	11715
/home/shared/8TB_HDD_01/sam/gitrepos/RobertsLab/project-clam-oa/output/02.00-ShortStack-31bp-fastp-merged/ShortStack_out/24-fastp-adapters-polyG-31bp-merged_condensed.bam	R	23	6350	27554
/home/shared/8TB_HDD_01/sam/gitrepos/RobertsLab/project-clam-oa/output/02.00-ShortStack-31bp-fastp-merged/ShortStack_out/24-fastp-adapters-polyG-31bp-merged_condensed.bam	R	24	9749	18884
/home/shared/8TB_HDD_01/sam/gitrepos/RobertsLab/project-clam-oa/output/02.00-ShortStack-31bp-fastp-merged/ShortStack_out/24-fastp-adapters-polyG-31bp-merged_condensed.bam	R	>24	366665	1478505
/home/shared/8TB_HDD_01/sam/gitrepos/RobertsLab/project-clam-oa/output/02.00-ShortStack-31bp-fastp-merged/ShortStack_out/24-fastp-adapters-polyG-31bp-merged_condensed.bam	H	<21	8345	19691
/home/shared/8TB_HDD_01/sam/gitrepos/RobertsLab/project-clam-oa/output/02.00-ShortStack-31bp-fastp-merged/ShortStack_out/24-fastp-adapters-polyG-31bp-merged_condensed.bam	H	21	2815	5420
/home/shared/8TB_HDD_01/sam/gitrepos/RobertsLab/project-clam-oa/output/02.00-ShortStack-31bp-fastp-merged/ShortStack_out/24-fastp-adapters-polyG-31bp-merged_condensed.bam	H	22	3437	7458
/home/shared/8TB_HDD_01/sam/gitrepos/RobertsLab/project-clam-oa/output/02.00-ShortStack-31bp-fastp-merged/ShortStack_out/24-fastp-adapters-polyG-31bp-merged_condensed.bam	H	23	3434	6779
/home/shared/8TB_HDD_01/sam/gitrepos/RobertsLab/project-clam-oa/output/02.00-ShortStack-31bp-fastp-merged/ShortStack_out/24-fastp-adapters-polyG-31bp-merged_condensed.bam	H	24	4775	10108
/home/shared/8TB_HDD_01/sam/gitrepos/RobertsLab/project-clam-oa/output/02.00-ShortStack-31bp-fastp-merged/ShortStack_out/24-fastp-adapters-polyG-31bp-merged_condensed.bam	H	>24	117361	542194
/home/shared/8TB_HDD_01/sam/gitrepos/RobertsLab/project-clam-oa/output/02.00-ShortStack-31bp-fastp-merged/ShortStack_out/24-fastp-adapters-polyG-31bp-merged_condensed.bam	N	<21	23003	47774
/home/shared/8TB_HDD_01/sam/gitrepos/RobertsLab/project-clam-oa/output/02.00-ShortStack-31bp-fastp-merged/ShortStack_out/24-fastp-adapters-polyG-31bp-merged_condensed.bam	N	21	11382	24363
/home/shared/8TB_HDD_01/sam/gitrepos/RobertsLab/project-clam-oa/output/02.00-ShortStack-31bp-fastp-merged/ShortStack_out/24-fastp-adapters-polyG-31bp-merged_condensed.bam	N	22	13880	27313
/home/shared/8TB_HDD_01/sam/gitrepos/RobertsLab/project-clam-oa/output/02.00-ShortStack-31bp-fastp-merged/ShortStack_out/24-fastp-adapters-polyG-31bp-merged_condensed.bam	N	23	16227	32277
/home/shared/8TB_HDD_01/sam/gitrepos/RobertsLab/project-clam-oa/output/02.00-ShortStack-31bp-fastp-merged/ShortStack_out/24-fastp-adapters-polyG-31bp-merged_condensed.bam	N	24	20933	42284
/home/shared/8TB_HDD_01/sam/gitrepos/RobertsLab/project-clam-oa/output/02.00-ShortStack-31bp-fastp-merged/ShortStack_out/24-fastp-adapters-polyG-31bp-merged_condensed.bam	N	>24	814201	2874403
/home/shared/8TB_HDD_01/sam/gitrepos/RobertsLab/project-clam-oa/output/02.00-ShortStack-31bp-fastp-merged/ShortStack_out/260-fastp-adapters-polyG-31bp-merged_condensed.bam	U	<21	21487	65328
/home/shared/8TB_HDD_01/sam/gitrepos/RobertsLab/project-clam-oa/output/02.00-ShortStack-31bp-fastp-merged/ShortStack_out/260-fastp-adapters-polyG-31bp-merged_condensed.bam	U	21	9518	38444
/home/shared/8TB_HDD_01/sam/gitrepos/RobertsLab/project-clam-oa/output/02.00-ShortStack-31bp-fastp-merged/ShortStack_out/260-fastp-adapters-polyG-31bp-merged_condensed.bam	U	22	12575	119544
/home/shared/8TB_HDD_01/sam/gitrepos/RobertsLab/project-clam-oa/output/02.00-ShortStack-31bp-fastp-merged/ShortStack_out/260-fastp-adapters-polyG-31bp-merged_condensed.bam	U	23	16333	220894
/home/shared/8TB_HDD_01/sam/gitrepos/RobertsLab/project-clam-oa/output/02.00-ShortStack-31bp-fastp-merged/ShortStack_out/260-fastp-adapters-polyG-31bp-merged_condensed.bam	U	24	24003	82797
/home/shared/8TB_HDD_01/sam/gitrepos/RobertsLab/project-clam-oa/output/02.00-ShortStack-31bp-fastp-merged/ShortStack_out/260-fastp-adapters-polyG-31bp-merged_condensed.bam	U	>24	821982	5158231
/home/shared/8TB_HDD_01/sam/gitrepos/RobertsLab/project-clam-oa/output/02.00-ShortStack-31bp-fastp-merged/ShortStack_out/260-fastp-adapters-polyG-31bp-merged_condensed.bam	P	<21	26418	575797
