readfile	mapping_type	sequence_length	sequence_count	read_count
/home/shared/8TB_HDD_01/sam/gitrepos/RobertsLab/project-clam-oa/output/02.00-ShortStack-31bp-fastp-merged/ShortStack_out/196-fastp-adapters-polyG-31bp-merged_condensed.bam	U	<21	41066	135280
/home/shared/8TB_HDD_01/sam/gitrepos/RobertsLab/project-clam-oa/output/02.00-ShortStack-31bp-fastp-merged/ShortStack_out/196-fastp-adapters-polyG-31bp-merged_condensed.bam	U	21	15524	51780
/home/shared/8TB_HDD_01/sam/gitrepos/RobertsLab/project-clam-oa/output/02.00-ShortStack-31bp-fastp-merged/ShortStack_out/196-fastp-adapters-polyG-31bp-merged_condensed.bam	U	22	19059	143338
/home/shared/8TB_HDD_01/sam/gitrepos/RobertsLab/project-clam-oa/output/02.00-ShortStack-31bp-fastp-merged/ShortStack_out/196-fastp-adapters-polyG-31bp-merged_condensed.bam	U	23	23099	239433
/home/shared/8TB_HDD_01/sam/gitrepos/RobertsLab/project-clam-oa/output/02.00-ShortStack-31bp-fastp-merged/ShortStack_out/196-fastp-adapters-polyG-31bp-merged_condensed.bam	U	24	31909	109838
/home/shared/8TB_HDD_01/sam/gitrepos/RobertsLab/project-clam-oa/output/02.00-ShortStack-31bp-fastp-merged/ShortStack_out/196-fastp-adapters-polyG-31bp-merged_condensed.bam	U	>24	978293	5058561
/home/shared/8TB_HDD_01/sam/gitrepos/RobertsLab/project-clam-oa/output/02.00-ShortStack-31bp-fastp-merged/ShortStack_out/196-fastp-adapters-polyG-31bp-merged_condensed.bam	P	<21	40548	922501
/home/shared/8TB_HDD_01/sam/gitrepos/RobertsLab/project-clam-oa/output/02.00-ShortStack-31bp-fastp-merged/ShortStack_out/196-fastp-adapters-polyG-31bp-merged_condensed.bam	P	21	12965	47573
/home/shared/8TB_HDD_01/sam/gitrepos/RobertsLab/project-clam-oa/output/02.00-ShortStack-31bp-fastp-merged/ShortStack_out/196-fastp-adapters-polyG-31bp-merged_condensed.bam	P	22	15505	65846
/home/shared/8TB_HDD_01/sam/gitrepos/RobertsLab/project-clam-oa/output/02.00-ShortStack-31bp-fastp-merged/ShortStack_out/196-fastp-adapters-polyG-31bp-merged_condensed.bam	P	23	18771	56078
/home/shared/8TB_HDD_01/sam/gitrepos/RobertsLab/project-clam-oa/output/02.00-ShortStack-31bp-fastp-merged/ShortStack_out/196-fastp-adapters-polyG-31bp-merged_condensed.bam	P	24	26915	78479
