,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Cluster_1785,663.894858607511,0.0149610685760405,0.281064271813933,0,1,1
Cluster_2042,135311.855814056,-0.190140924016932,0.484088921401932,0,1,1
Cluster_2646,1769.00001360076,0.0185890051087409,0.0902545386560213,0,1,1
Cluster_3720,42.6841856273547,2.09212214906764,0.550418555764709,1.98416666304123,0.047237263579587,0.43694468811118
Cluster_4396,4.09498330940415,0.0360325151695914,0.560992986463193,0,1,1
Cluster_5150,6.2769329851464,-0.77499700211549,0.604080105078453,0,1,1
Cluster_9285,93.5707130582258,-0.0448708572736893,0.373193224656341,0,1,1
Cluster_9399,161.008191934023,-0.917655601902164,0.653291942405207,0,1,1
Cluster_11267,33.5070545300703,0.43534428384431,0.327710187789186,0,1,1
Cluster_13141,798.910572796938,-0.32131606577059,0.699319269851804,0,1,1
Cluster_13225,4738.72880328655,-0.250597797176396,0.193988858924683,0,1,1
Cluster_13226,731.378393377351,-0.309730173504466,0.844303586336884,0,1,1
Cluster_13708,3920.23709700761,-0.31553857395616,0.246583333623035,0,1,1
Cluster_14095,988.173482052487,0.12810820007199,0.224076736322896,0,1,1
Cluster_14096,4003.51025632404,0.25898837664752,0.19686851173835,0,1,1
Cluster_15325,27.2098777294077,4.27877573148965,1.18893375253648,2.7577446804708,0.005820163731538,0.215346058066906
Cluster_15635,358.04956501163,-0.185385387485388,0.260781003395399,0,1,1
Cluster_15636,49.2861245681355,-0.847315378239675,0.591724228597924,0,1,1
Cluster_15637,449.610880325061,-0.0694276947011829,0.423729610947917,0,1,1
Cluster_15638,803.754561241072,-0.169086040262519,0.362580425604651,0,1,1
Cluster_15639,5862.1806935151,0.161547964698643,0.212041686403824,0,1,1
Cluster_16249,4.13004606688319,0.562325251552654,0.515994878144606,0,1,1
Cluster_16250,4.03124026646998,0.239968109871576,0.573311313186581,0,1,1
Cluster_17619,7.68082190590382,-2.71853301312792,0.785237471771419,-2.18855196664403,0.0286294202664143,0.43694468811118
Cluster_19246,8.13913058988336,0.733126710656406,0.488182165239079,0,1,1
Cluster_20177,98.1044267642511,-0.00319506940466871,0.777127931939907,0,1,1
Cluster_22161,18159.6674044332,-0.234779196235271,0.579940300884838,0,1,1
Cluster_22586,71724.0998594685,-0.220864158010912,0.338980981068232,0,1,1
Cluster_23993,155.02499083306,-0.286681220852659,0.292574950906353,0,1,1
Cluster_24004,1331.58972187224,0.088287826704472,0.170354187787349,0,1,1
Cluster_24617,82.1826570644926,0.143245870012942,0.652319084562451,0,1,1
Cluster_25443,1774.72410087126,0.0182726855600991,0.0898031794825934,0,1,1
Cluster_29018,1661.63917952748,2.42450293467077,0.68376166389414,2.08333255561299,0.0372209212207475,0.43694468811118
Cluster_31844,1372.10801921054,-0.0477386088263647,0.146374802808762,0,1,1
Cluster_32917,14.7573310589183,0.21946674074822,0.377211039537474,0,1,1
Cluster_32918,1259.45864156638,0.500476932645464,0.370047651760716,0,1,1
Cluster_32919,4.58940026334687,0.295402248344173,0.619286906388458,0,1,1
